Battery,Index,Weight (g),Capacity (mAh),Max Amps,Volts,Discharge,l,w,h
Turnigy nano-tech 450mAh 2S 65C Lipo (E-flite Compatible - Blade 130X EFLB3002S35),1,26,450,29.25,7.4,65,48,29,11
Turnigy nano-tech 450mAh 3S 65C Lipo,2,40,450,29.25,11.1,65,49,28.5,16
Turnigy 500mAh 3S 20C Lipo Pack,3,49,500,10,11.1,20,56,30,9
Turnigy Graphene 800mAh 2S 20C Lipo Pack ,4,58,800,16,7.4,20,56,31,20
Turnigy 800mAh 3S 20C Lipo Pack,5,72,800,16,11.1,20,55,30,25
ZIPPY Compact 1300mAh 2S 25C Lipo Pack,6,81,1300,32.5,7.4,25,73,17,34
Turnigy 1500mAh 2S 25C Lipoly Battery w/XT60,7,83,1500,37.5,7.4,25,73,34,19
Turnigy nano-tech 1000mAh 3S 45~90C ,8,93,1000,45,11.1,45,71,19,35
ZIPPY Compact 1800mAh 2S 25C Lipo Pack,9,110,1800,45,7.4,25,105,34,16
ZIPPY Compact 1300mAh 3S 25C Lipo Pack,10,111,1300,32.5,11.1,25,73,35,24
ZIPPY Compact 2200mAh 2S 25C Lipo Pack,11,113,2200,55,7.4,25,104,14,35
ZIPPY Compact 2700mAh 2S 25C Lipo Pack,12,157,2700,67.5,7.4,25,136,43,15
ZIPPY Compact 2200mAh 3S 25C Lipo Pack,13,163,2200,55,11.1,25,107,21,34
Turnigy 3300mAh 2S 30C Lipo Pack w/XT-60,14,204,3300,99,7.4,30,134,43,15
ZIPPY Compact 1800mAh 4S 35C Lipo Pack,15,205,1800,63,14.8,35,108,34,29
ZIPPY Compact 2700mAh 3s 40c Lipo Pack,16,235,2700,108,11.1,40,137,45,20
ZIPPY Compact 2450mAh 4S 35C Lipo Pack,17,265,2450,85.75,14.8,35,114,34,32
