D (in),P (in),Power (W),RPM,Thrust (N),Speed (m/s),Weight,KV,Max Amps
6,4,26,9270,1.57887065,15.691104,0,0,0
6,4,26,9270,1.57887065,15.691104,0,0,0
6,4,27,9240,1.65732385,15.6464,0,0,0
6,4,30,9480,1.7259704,16.048736,0,0,0
6,4,30,10140,1.8828768,17.166336,0,0,0
6,4,31,9450,1.73577705,16.004032,19,1800,0
6,4,31,9840,1.71616375,16.674592,0,0,0
6,4,31,9870,1.7455837,16.719296,0,0,0
6,4,31,10020,1.91229675,16.98752,0,0,0
6,4,32,9960,1.73577705,16.853408,0,0,0
6,4,32,9960,1.89268345,16.853408,0,0,0
6,4,32,10020,1.93191005,16.98752,22,1325,0
6,4,33,9870,1.8632635,16.719296,0,0,0
6,4,34,9960,1.91229675,16.853408,0,0,0
6,4,35,10290,2.0397832,17.43456,0,0,0
6,4,36,10320,1.99074995,17.479264,0,0,0
6,4,36,10320,1.99074995,17.479264,0,0,0
6,4,37,9780,1.8632635,16.54048,0,0,0
6,4,38,9900,1.7259704,16.764,0,0,0
6,4,38,10410,2.01036325,17.613376,0,0,0
6,4,39,10710,2.02997655,18.149824,0,0,0
6,4,40,10650,2.22610955,18.015712,0,0,0
6,4,41,10290,2.157463,17.43456,19,1800,0
6,4,41,10800,2.22610955,18.283936,0,0,0
6,4,41,10830,2.2555295,18.32864,0,0,0
6,4,41,10860,2.28494945,18.373344,22,1325,0
6,4,42,9780,1.8436502,16.54048,0,0,0
6,4,42,10230,2.06920315,17.345152,0,0,0
6,4,42,11400,2.42224255,19.312128,0,0,0
6,4,43,10290,1.87307015,17.43456,0,0,0
6,4,43,10980,2.1966896,18.596864,0,0,0
6,4,43,11040,2.2163029,18.686272,0,0,0
6,4,43,11130,2.40262925,18.865088,0,0,0
6,4,44,11100,2.353596,18.77568,0,0,0
6,4,45,11250,2.32417605,19.043904,0,0,0
6,4,45,11250,2.42224255,19.043904,0,0,0
6,4,46,10170,2.0005566,17.21104,0,0,0
6,4,46,11070,2.353596,18.730976,0,0,0
6,4,46,11130,2.34378935,18.865088,0,0,0
6,4,46,11130,2.34378935,18.865088,0,0,0
6,4,46,11190,2.24572285,18.954496,0,0,0
6,4,47,11250,2.353596,19.043904,0,0,0
6,4,47,11250,2.353596,19.043904,0,0,0
6,4,48,11040,2.3732093,18.686272,0,0,0
6,4,48,11580,2.5301157,19.625056,0,0,0
6,4,49,11430,2.48108245,19.356832,0,0,0
6,4,49,11430,2.48108245,19.356832,0,0,0
6,4,49,11490,2.5889556,19.44624,0,0,0
6,4,52,10830,2.0986231,18.32864,0,0,0
6,4,52,11400,2.4712758,19.312128,0,0,0
6,4,52,11730,2.7262487,19.848576,22,1325,0
6,4,52,11790,2.63798885,19.982688,0,0,0
6,4,53,10980,2.4516625,18.596864,19,1800,0
6,4,53,11580,2.549729,19.625056,0,0,0
6,4,55,11850,2.79489525,20.072096,0,0,0
6,4,55,11940,2.38301595,20.206208,0,0,0
6,4,55,11970,2.81450855,20.250912,0,0,0
6,4,56,12240,3.0400615,20.742656,0,0,0
6,4,57,11970,2.745862,20.250912,0,0,0
6,4,57,12060,2.8635418,20.429728,0,0,0
6,4,57,12210,2.5105024,20.653248,0,0,0
6,4,57,12660,3.0400615,21.45792,0,0,0
6,4,58,12030,2.71644205,20.385024,0,0,0
6,4,58,12150,2.9027684,20.56384,0,0,0
6,4,58,12180,2.745862,20.608544,0,0,0
6,4,59,11940,2.6674088,20.206208,0,0,0
6,4,60,12120,2.85373515,20.519136,0,0,0
6,4,60,12510,3.1185147,21.189696,0,0,0
6,4,61,12420,3.0204482,21.01088,0,0,0
6,4,62,12180,2.9027684,20.608544,0,0,0
6,4,62,12270,2.8439285,20.78736,0,0,0
6,4,62,12360,2.7654753,20.921472,0,0,0
6,4,63,12270,2.9027684,20.78736,0,0,0
6,4,63,12270,2.9027684,20.78736,0,0,0
6,4,63,12360,2.941995,20.921472,0,0,0
6,4,63,12360,2.941995,20.921472,0,0,0
6,4,63,12390,2.9027684,20.966176,0,0,0
6,4,63,12540,3.06948145,21.2344,0,0,0
6,4,63,12570,2.941995,21.279104,0,0,0
6,4,64,12000,2.85373515,20.34032,0,0,0
6,4,64,12570,3.01064155,21.279104,0,0,0
6,4,64,12570,3.01064155,21.279104,0,0,0
6,4,64,12690,3.0989014,21.502624,0,0,0
6,4,65,12510,3.03025485,21.189696,0,0,0
6,4,65,12540,3.12832135,21.2344,0,0,0
6,4,65,12780,3.2361945,21.636736,0,0,0
6,4,66,11580,2.73605535,19.625056,19,1800,0
6,4,66,12090,2.79489525,20.474432,0,0,0
6,4,66,12690,3.38329425,21.502624,0,0,0
6,4,67,12540,2.95180165,21.2344,0,0,0
6,4,67,12570,2.83412185,21.279104,0,0,0
6,4,67,12570,2.83412185,21.279104,0,0,0
6,4,67,12990,3.20677455,21.994368,0,0,0
6,4,68,12690,2.97141495,21.502624,0,0,0
6,4,70,13110,3.334261,22.217888,0,0,0
6,4,71,12870,2.95180165,21.815552,0,0,0
6,4,71,12930,3.24600115,21.90496,0,0,0
6,4,71,12990,3.28522775,21.994368,0,0,0
6,4,72,12750,3.1185147,21.592032,0,0,0
6,4,72,12930,3.0204482,21.90496,0,0,0
6,4,72,13020,3.40290755,22.039072,0,0,0
6,4,72,13110,3.46174745,22.217888,0,0,0
6,4,73,13260,3.40290755,22.441408,0,0,0
6,4,73,13260,3.40290755,22.441408,0,0,0
6,4,74,12810,3.138128,21.68144,0,0,0
6,4,74,12960,3.24600115,21.949664,0,0,0
6,4,75,13050,3.26561445,22.083776,0,0,0
6,4,75,13140,3.44213415,22.262592,0,0,0
6,4,75,13200,3.32445435,22.352,0,0,0
6,4,76,12030,2.8243152,20.385024,0,0,0
6,4,76,13140,3.4323275,22.262592,0,0,0
6,4,77,13320,3.55981395,22.57552,0,0,0
6,4,77,13880,3.6873004,23.514304,0,0,0
6,4,79,13260,3.38329425,22.441408,0,0,0
6,4,79,13350,3.4323275,22.620224,0,0,0
6,4,79,13350,3.4323275,22.620224,0,0,0
6,4,79,13380,3.4911674,22.664928,0,0,0
6,4,79,13410,3.06948145,22.709632,0,0,0
6,4,79,13680,3.81478685,23.156672,0,0,0
6,4,80,13440,3.59904055,22.754336,0,0,0
6,4,81,13230,3.4715541,22.396704,0,0,0
6,4,81,13410,3.26561445,22.709632,0,0,0
6,4,82,13680,3.22638785,23.156672,0,0,0
6,4,83,12870,3.36368095,21.815552,0,0,0
6,4,83,13530,3.4715541,22.888448,0,0,0
6,4,83,13770,3.71672035,23.335488,0,0,0
6,4,83,13950,3.9422733,23.603712,0,0,0
6,4,84,12400,3.01064155,21.01088,0,0,0
