Motor Name,Index,D (in),P (in),Power (W),RPM,Thrust (N),Speed (m/s),Weight,KV,Max Amps
Infinite A2205-1560,1,6,4,26,9270,1.57887065,15.691104,0,0,0
Infinite A2205-1560,2,6,4,26,9270,1.57887065,15.691104,0,0,0
LensRC 20mm 17T,3,6,4,27,9240,1.65732385,15.6464,0,0,0
EP 2212-1330,4,6,4,30,9480,1.7259704,16.048736,0,0,0
Medusa 28-32-1500,5,6,4,30,10140,1.8828768,17.166336,0,0,0
ELE C20 KV2100,6,6,4,31,9450,1.73577705,16.004032,19,1800,0
Torque 34T-1520,7,6,4,31,9840,1.71616375,16.674592,0,0,0
LittleScreamers Purple Peril (Original),8,6,4,31,9870,1.7455837,16.719296,0,0,0
LittleScreamers Purple Peril (production),9,6,4,31,10020,1.91229675,16.98752,0,0,0
Hacker A20-34S,10,6,4,32,9960,1.73577705,16.853408,0,0,0
E-max CF 2212,11,6,4,32,9960,1.89268345,16.853408,0,0,0
Westport 22.7mm 20T/25ga,12,6,4,32,10020,1.93191005,16.98752,22,1325,0
E-max BL 2210/30,13,6,4,33,9870,1.8632635,16.719296,0,0,0
E-max BL 2205/22,14,6,4,34,9960,1.91229675,16.853408,0,0,0
Komodo KH2204-11,15,6,4,35,10290,2.0397832,17.43456,0,0,0
Infinite A2205-1560,16,6,4,36,10320,1.99074995,17.479264,0,0,0
Infinite A2205-1560,17,6,4,36,10320,1.99074995,17.479264,0,0,0
Cyclon Nano,18,6,4,37,9780,1.8632635,16.54048,0,0,0
Neu Neutrino 1210/8Y,19,6,4,38,9900,1.7259704,16.764,0,0,0
Motrolfly 2210-1700,20,6,4,38,10410,2.01036325,17.613376,0,0,0
LittleScreamers DeNovo (original),21,6,4,39,10710,2.02997655,18.149824,0,0,0
Suppo A2208-12,22,6,4,40,10650,2.22610955,18.015712,0,0,0
ELE C20 KV2100,23,6,4,41,10290,2.157463,17.43456,19,1800,0
LittleScreamers Super Park Jet,24,6,4,41,10800,2.22610955,18.283936,0,0,0
EP 2212-1330,25,6,4,41,10830,2.2555295,18.32864,0,0,0
Westport 22.7mm 20T/25ga,26,6,4,41,10860,2.28494945,18.373344,22,1325,0
E-flite 250,27,6,4,42,9780,1.8436502,16.54048,0,0,0
Cyclon Nano,28,6,4,42,10230,2.06920315,17.345152,0,0,0
Medusa 28-32-1500,29,6,4,42,11400,2.42224255,19.312128,0,0,0
Neu Neutrino 1210/8Y,30,6,4,43,10290,1.87307015,17.43456,0,0,0
LittleScreamers Purple Peril (Original),31,6,4,43,10980,2.1966896,18.596864,0,0,0
Torque 34T-1520,32,6,4,43,11040,2.2163029,18.686272,0,0,0
LittleScreamers Purple Peril (production),33,6,4,43,11130,2.40262925,18.865088,0,0,0
MMM 450T (12-magnet),34,6,4,44,11100,2.353596,18.77568,0,0,0
TopStar 2810-01A,35,6,4,45,11250,2.32417605,19.043904,0,0,0
E-max CF 2212,36,6,4,45,11250,2.42224255,19.043904,0,0,0
E-flite 250,37,6,4,46,10170,2.0005566,17.21104,0,0,0
E-max BL 2210/30,38,6,4,46,11070,2.353596,18.730976,0,0,0
Motrolfly 2205-1800 v2,39,6,4,46,11130,2.34378935,18.865088,0,0,0
Motrolfly 2205-1800 v2,40,6,4,46,11130,2.34378935,18.865088,0,0,0
Hacker A20-34S,41,6,4,46,11190,2.24572285,18.954496,0,0,0
Motrolfly 2210-1700 v2,42,6,4,47,11250,2.353596,19.043904,0,0,0
Motrolfly 2210-1700 v2,43,6,4,47,11250,2.353596,19.043904,0,0,0
E-max BL 2205/22,44,6,4,48,11040,2.3732093,18.686272,0,0,0
Grayson Mega Jet 18,45,6,4,48,11580,2.5301157,19.625056,0,0,0
Infinite A2205-1560,46,6,4,49,11430,2.48108245,19.356832,0,0,0
Infinite A2205-1560,47,6,4,49,11430,2.48108245,19.356832,0,0,0
Komodo KH2204-11,48,6,4,49,11490,2.5889556,19.44624,0,0,0
Neu Neutrino 1210/8Y,49,6,4,52,10830,2.0986231,18.32864,0,0,0
KEDA TR2834/10,50,6,4,52,11400,2.4712758,19.312128,0,0,0
Westport 22.7mm 20T/25ga,51,6,4,52,11730,2.7262487,19.848576,22,1325,0
Motrolfly 2210-1700,52,6,4,52,11790,2.63798885,19.982688,0,0,0
ELE C20 KV2100,53,6,4,53,10980,2.4516625,18.596864,19,1800,0
KEDA TR2837/08,54,6,4,53,11580,2.549729,19.625056,0,0,0
Suppo A2208-12,55,6,4,55,11850,2.79489525,20.072096,0,0,0
Komodo KH2413-SP,56,6,4,55,11940,2.38301595,20.206208,0,0,0
EP 2212-1330,57,6,4,55,11970,2.81450855,20.250912,0,0,0
Komodo KH2413-SP,58,6,4,56,12240,3.0400615,20.742656,0,0,0
Reaper GR PJ,59,6,4,57,11970,2.745862,20.250912,0,0,0
LittleScreamers Super Park Jet,60,6,4,57,12060,2.8635418,20.429728,0,0,0
Komodo KH2413-SP,61,6,4,57,12210,2.5105024,20.653248,0,0,0
Medusa 28-32-1500,62,6,4,57,12660,3.0400615,21.45792,0,0,0
LittleScreamers Purple Peril (Original),63,6,4,58,12030,2.71644205,20.385024,0,0,0
LittleScreamers Purple Peril (production),64,6,4,58,12150,2.9027684,20.56384,0,0,0
Torque 34T-1520,65,6,4,58,12180,2.745862,20.608544,0,0,0
SunnySky X2212-6,66,6,4,59,11940,2.6674088,20.206208,0,0,0
LittleScreamers Park Jet,67,6,4,60,12120,2.85373515,20.519136,0,0,0
Komodo KH2413-SP,68,6,4,60,12510,3.1185147,21.189696,0,0,0
